UserID,Date,Score
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-27,5
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-26,6
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-25,3
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-24,6
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-23,1
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-22,10
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-21,9
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-20,8
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-19,7
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-18,10
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-17,3
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-16,3
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-15,3
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-14,0
b8abaa88-cc96-4506-8a84-7bac16424448,2024-10-13,5
